site,sources,BFI_avg,summer_sum,totalppt_2004_2018_cm,BasinGIS_km2,r50_DevelopedOpen2011,r50_DeciduousForest2011,r50_UrbanTotal2011,r50_ForestTotal2011,r50_CanopyCover2011,r50_Imperviousness2011,DevelopedOpen2011,DevelopedLow2011,DevelopedMed2011,DevelopedHigh2011,DeciduousForest2011,EvergreenForest2011,ShrubScrub2011,GrasslandHerb2011,WoodyWetlands2011,UrbanLMH2011,ForestTotal2011,WetlandsTotal2011,Canopy2011,Imperviousness2011,NatWetlandsInvTotal,PopDensityBLK2010,HousDensityBLK2010,RoadDensity2014,StreamDensity,Slope,SandContent,PctHydrGrpB,PctHydrGrpB_D,PctHydrGrpC,PctHydrGrpD,PctHydrGrpD_A_D_B_D_C_D,s_name,norm_min,norm_median,norm_99,norm_90,norm_70,norm_base,norm_Qsum,norm_BFI,norm_mincv,norm_mediancv,norm_99cv,norm_90cv,norm_70cv,norm_basecv,norm_Qsumcv,norm_BFIcv,nonlog_mincv,nonlog_mediancv,nonlog_99cv,nonlog_90cv,nonlog_70cv,nonlog_basecv,nonlog_Qsumcv,nonlog_BFIcv
36,2160381,0.498970315,282.2447059,1749.679,33.3605,4.7337,41.4201,4.7337,43.787,83.5799,0.2604,24.5123,13.9696,4.5117,1.2629,24.1615,5.162,0.7771,4.0233,1.4517,19.7442,29.7283,1.4652,46.3653,9.8689,1.6563,352.5231,137.0646,6.8306,1.5099,5.4254,29.4554,87.9,1.5,0.3,2.4,9.6,2160381,0.496938512,0.53582768,0.519003733,0.586000447,0.629170287,0.621866426,-0.287569701,1.083265135,1.272153365,1.097567783,1.25247164,1.026827654,0.836553037,0.901097326,-3.056129033,0.242379556,0.726623422,0.326798678,0.682606635,0.54171102,0.361063769,0.344081854,0.375627001,0.131893514
37,2164000,0.493857119,344.4705882,1896.0846,125.4681,40.3434,23.6052,60.515,23.6052,61.8884,12.4077,30.0763,21.9378,10.3953,6.0417,17.7074,4.084,0.3974,3.1026,1.8508,38.3747,21.9743,1.8874,46.8159,20.9817,1.9647,711.8797,319.4959,10.2678,2.9572,7.2788,31.2349,88.3,3.3,0,1.3,8.4,2164000,1.10932258,1.272873995,1.079095874,1.143862297,1.242020773,1.303136209,0.705128398,1.072885255,0.239673702,0.394229065,0.252061404,0.324062948,0.38921919,0.356897648,0.976649886,0.152794218,0.458507222,0.294801807,0.445143085,0.41100771,0.347333743,0.299929927,0.302899772,0.079983163
38,2165200,0.540594077,273.1717647,1706.0926,77.0087,0,51.6432,0,53.9906,77.108,0,10.4229,4.3237,2.3494,1.2694,34.3744,7.6269,1.3395,6.6474,2.0151,7.9425,42.5472,2.0526,55.4825,4.6624,2.8774,93.2881,37.1172,3.2686,3.1579,5.733,32.5914,83.4,2.6,2.6,4.6,13.5,2165200,0.031133997,0.282026185,0.019430306,0.118893875,0.283798716,0.408270181,-0.782734102,1.25488917,27.87299901,2.569580589,45.6404082,7.860001272,2.372565132,1.488929778,-1.225066238,0.18833108,0.93386789,0.381008287,0.85763944,0.658590176,0.422042268,0.367765941,0.423408895,0.123242563
39,2186000,0.629199758,354.3364706,2052.0406,270.1917,1.087,74.6377,2.8986,74.6377,82.4529,0.7246,11.8039,2.6474,0.7181,0.3457,42.6996,9.2521,1.7017,10.9482,0.4104,3.7112,52.6672,0.4247,63.8914,2.1426,1.728,80.2513,35.9249,4.26,3.1819,11.7317,33.9539,86.8,2.8,0,4.3,7.5,2186000,1.168948143,1.522917264,1.147957091,1.278891701,1.450846473,1.624446776,0.588079105,1.603727701,0.302973001,0.413488038,0.312724778,0.326519922,0.393829607,0.360875719,1.402901594,0.08539492,0.663002605,0.375475168,0.641217607,0.503533549,0.446636777,0.389970624,0.37571545,0.069787843
40,2203831,0.392199763,340.8205882,1957.7558,10.7557,34.4262,42.623,44.2623,55.7377,80.5492,5.8689,43.5702,27.4582,5.7023,3.3528,6.7726,10.0753,0.9783,0.3177,0,36.5134,17.4248,0,56.0189,18.4586,1.2629,1070.7496,482.9654,9.9592,0.9847,6.7439,34.2612,84.1,0,0.1,0,1,2203831,0.836048564,0.550244587,0.780939326,0.757797989,0.694016129,0.594250194,0.101816694,0.690398917,0.18524821,0.620392583,0.223475418,0.205320903,0.330419338,0.562579208,4.888041588,0.360416731,0.270087716,0.216729804,0.287044594,0.171714933,0.182385152,0.239474623,0.270737379,0.125243972
41,2203863,0.425646215,339.4247059,1952.9044,22.3358,12.2581,6.4516,16.129,42.5806,93.529,2.2516,39.8783,26.5022,8.2658,4.3848,6.7303,11.6955,0.1169,0.1169,0.5562,39.1529,19.5341,0.5562,57.1731,20.5905,1.0396,1279.0126,589.5231,9.6806,1.2376,7.0167,34.2795,72.8,0.2,0.1,0,0.2,2203863,0.935270673,0.821318764,0.899303043,0.883074333,0.914394002,0.85801886,0.405388117,0.760321515,0.366186478,0.561199418,0.399817335,0.385377317,0.416185117,0.522592074,1.38243837,0.355236044,0.436402073,0.245529882,0.436917143,0.339309351,0.248534434,0.270207201,0.247487491,0.138175049
42,2204037,0.354440725,322.4564706,1925.0406,41.5318,6.5934,45.055,7.1429,67.033,92.7473,0.9121,24.5768,25.7473,11.8484,3.9256,11.4582,15.826,1.2312,1.4762,1.6994,41.5213,27.5573,1.7406,51.5422,21.4826,3.6582,1013.4059,449.0184,7.6119,0.6854,5.9831,47.0546,74.2,0.6,0.6,1,10.8,2204037,0.617701424,0.891247994,0.62394156,0.628330822,0.79047131,0.789975096,0.527519183,0.558795472,0.264380352,0.302947311,0.314352952,0.417122485,0.296304124,0.36353104,0.873018558,0.530989716,0.262896284,0.170278764,0.292075151,0.278813434,0.194891134,0.203881926,0.233267825,0.150320417
43,2204130,0.471453976,302.3235294,1886.2802,66.8335,2.4272,14.0777,2.4272,30.0971,96.8107,0.0388,17.7274,12.1387,3.102,1.827,19.969,25.3275,2.1367,4.4429,2.6523,17.0677,45.9374,2.6914,60.3852,8.9466,4.8437,331.1546,143.9649,4.5455,1.2374,5.9581,40.5403,85.7,0.3,0.7,0.4,8.1,2204130,0.225205267,0.770805955,0.229165458,0.377413035,0.544829018,0.76014765,0.074351425,0.934300461,4.35858794,0.990024032,3.936677391,1.965251306,1.421657158,0.96811543,13.74511171,0.410501021,1.012479878,0.416223908,0.985508967,0.792191624,0.57789396,0.455737832,0.429329274,0.173969941
44,2207435,0.535036189,306.9188235,1843.4812,66.8165,7.9602,15.4229,7.9602,30.8458,96.1542,0.5274,11.5937,8.1188,1.7523,0.7691,16.868,21.8958,4.3153,9.9034,2.6142,10.6402,39.809,2.6142,55.9609,5.3382,3.6052,182.3486,68.1283,3.2086,1.775,7.3723,44.8969,67.1,6,0.2,0.5,8.1,2207435,0.342697421,0.806029693,0.322532373,0.411185174,0.640078821,0.93814729,0.078537558,1.165186276,2.097610164,0.925102366,2.19802872,1.577737185,1.062896768,0.715526959,12.58544015,0.273135322,0.786948644,0.364349444,0.746043059,0.604346105,0.405431357,0.41146886,0.429012209,0.147664224
45,2335580,0.547266088,322.9894118,1955.5714,96.5858,2.2831,18.2648,2.7397,25.5708,74.5617,0.3699,21.8707,15.5148,5.2461,1.859,26.7851,8.938,0.7231,2.0575,2.1628,22.6199,36.6242,2.2093,52.1295,11.7232,2.803,417.4689,152.3864,5.1657,1.6559,7.6928,34.7925,91.7,5.1,0.4,0.8,6,2335580,1.136566059,1.295640914,1.106236682,1.07395313,1.224009622,1.373091844,0.659220239,1.207156753,0.175128958,0.455275835,0.189105728,0.284383633,0.385904529,0.365247108,1.149932074,0.285283632,0.346151779,0.381250065,0.339940417,0.342595476,0.354717577,0.353094776,0.344973784,0.15474086
